asset,group
PR,energy
PSX,energy
PTEN,energy
RRC,energy
SLB,energy
SM,energy
SU,energy
SUN,energy
TPL,energy
TRGP,energy
TTE,energy
USO,energy
VAL,energy
VLO,energy
VNOM,energy
WES,energy
WWD,energy
XLE,energy
XOM,energy
XOP,energy
ABEV3.SA,equities_br_bluechips
B3SA3.SA,equities_br_bluechips
BBAS3.SA,equities_br_bluechips
BBDC4.SA,equities_br_bluechips
BPAC11.SA,equities_br_bluechips
BRKM5.SA,equities_br_bluechips
CMIG4.SA,equities_br_bluechips
CSAN3.SA,equities_br_bluechips
CSNA3.SA,equities_br_bluechips
CYRE3.SA,equities_br_bluechips
ENEV3.SA,equities_br_bluechips
EQTL3.SA,equities_br_bluechips
FLRY3.SA,equities_br_bluechips
GGBR4.SA,equities_br_bluechips
GOAU4.SA,equities_br_bluechips
HAPV3.SA,equities_br_bluechips
IGTI11.SA,equities_br_bluechips
ITUB4.SA,equities_br_bluechips
KLBN11.SA,equities_br_bluechips
LREN3.SA,equities_br_bluechips
MRVE3.SA,equities_br_bluechips
MULT3.SA,equities_br_bluechips
PCAR3.SA,equities_br_bluechips
PETR4.SA,equities_br_bluechips
PRIO3.SA,equities_br_bluechips
RADL3.SA,equities_br_bluechips
RAIL3.SA,equities_br_bluechips
RENT3.SA,equities_br_bluechips
SUZB3.SA,equities_br_bluechips
TIMS3.SA,equities_br_bluechips
UGPA3.SA,equities_br_bluechips
VALE3.SA,equities_br_bluechips
VIVT3.SA,equities_br_bluechips
WEGE3.SA,equities_br_bluechips
EEM,equities_ex_us
EFA,equities_ex_us
EWJ,equities_ex_us
EWZ,equities_ex_us
DIA,equities_us_broad
IWM,equities_us_broad
QQQ,equities_us_broad
RSP,equities_us_broad
SPY,equities_us_broad
VT,equities_us_broad
VTI,equities_us_broad
CCZ,equities_us_other
CTGO,equities_us_other
INTZ,equities_us_other
NB,equities_us_other
NTIP,equities_us_other
AD,financials
AFL,financials
AIG,financials
AJG,financials
ALL,financials
AMCX,financials
AMP,financials
AON,financials
ATEX,financials
ATNI,financials
AXP,financials
BAC,financials
BBVA,financials
BK,financials
BLK,financials
C,financials
CB,financials
CCL,financials
CFG,financials
CMCSA,financials
CME,financials
COF,financials
COIN,financials
CUK,financials
FIS,financials
FISV,financials
FITB,financials
GM,financials
GPN,financials
GS,financials
HBAN,financials
HDB,financials
HIG,financials
HOOD,financials
HSBC,financials
HST,financials
IBKR,financials
IBN,financials
IDT,financials
JJSF,financials
JPM,financials
KRE,financials
LPLA,financials
MET,financials
MKL,financials
MS,financials
MTB,financials
MUFG,financials
PGR,financials
PNC,financials
PPC,financials
PRMB,financials
PRU,financials
RJF,financials
RKT,financials
RY,financials
SAN,financials
SCHW,financials
SHEN,financials
SPOK,financials
STT,financials
T,financials
TD,financials
TDS,financials
TFC,financials
TRV,financials
TSN,financials
TW,financials
UBS,financials
USB,financials
WFC,financials
WRB,financials
XLF,financials
FXE,fx
FXY,fx
UUP,fx
A,health_care
ABBV,health_care
ABT,health_care
ALC,health_care
ALNY,health_care
AMGN,health_care
AZN,health_care
BDX,health_care
BIIB,health_care
BMY,health_care
BR,health_care
BSX,health_care
BTI,health_care
CAH,health_care
CI,health_care
CNC,health_care
COR,health_care
CVS,health_care
DGX,health_care
DHR,health_care
ELV,health_care
EW,health_care
GEHC,health_care
GILD,health_care
GMAB,health_care
HUM,health_care
ICE,health_care
INCY,health_care
IQV,health_care
JNJ,health_care
LH,health_care
LLY,health_care
MCK,health_care
MDLN,health_care
MDT,health_care
MRK,health_care
MRNA,health_care
MRSH,health_care
NDAQ,health_care
NVO,health_care
NVS,health_care
PFE,health_care
PHG,health_care
REGN,health_care
RMD,health_care
ROIV,health_care
RPRX,health_care
RVMD,health_care
SNY,health_care
STE,health_care
SYK,health_care
TMO,health_care
TMUS,health_care
UNH,health_care
UTHR,health_care
VRTX,health_care
VTRS,health_care
WST,health_care
XLV,health_care
ZBH,health_care
ZTS,health_care
ADP,industrials
AME,industrials
AMWD,industrials
APH,industrials
APO,industrials
AZO,industrials
BA,industrials
CARR,industrials
CAT,industrials
CBRE,industrials
CMI,industrials
CNI,industrials
CP,industrials
CPAY,industrials
CRH,industrials
CSX,industrials
CTAS,industrials
DAL,industrials
DE,industrials
DGII,industrials
DIS,industrials
DOV,industrials
EME,industrials
EMR,industrials
ENR,industrials
ESE,industrials
F,industrials
FAST,industrials
FBIN,industrials
FDX,industrials
FER,industrials
FIX,industrials
FTAI,industrials
GD,industrials
GE,industrials
GLW,industrials
GWW,industrials
HCA,industrials
HEI,industrials
HLT,industrials
HON,industrials
HWM,industrials
IBM,industrials
IDCC,industrials
INGR,industrials
IR,industrials
ITW,industrials
JCI,industrials
KN,industrials
KOP,industrials
LAMR,industrials
LEN,industrials
LFUS,industrials
LHX,industrials
LMT,industrials
LPX,industrials
LUMN,industrials
LVS,industrials
LYV,industrials
MAR,industrials
MATV,industrials
MATW,industrials
MCD,industrials
MMM,industrials
MSI,industrials
NFG,industrials
NL,industrials
NOC,industrials
NRG,industrials
NSC,industrials
NSSC,industrials
NVRI,industrials
ODFL,industrials
ORLY,industrials
PAYX,industrials
PBI,industrials
PCAR,industrials
PH,industrials
POWL,industrials
PWR,industrials
RACE,industrials
RCL,industrials
RKLB,industrials
ROK,industrials
ROST,industrials
RTX,industrials
SATS,industrials
SPB,industrials
SYM,industrials
SYY,industrials
TDG,industrials
TDY,industrials
THC,industrials
TJX,industrials
TKO,industrials
TM,industrials
TPR,industrials
TT,industrials
UAL,industrials
UFPI,industrials
ULBI,industrials
UNP,industrials
UPS,industrials
URI,industrials
VYX,industrials
WAB,industrials
XLI,industrials
XYL,industrials
ABAT,materials
ADM,materials
AEM,materials
AES,materials
APD,materials
AU,materials
B,materials
BG,materials
CCJ,materials
CDE,materials
CLF,materials
CLW,materials
DAR,materials
DC,materials
ECL,materials
EU,materials
FCX,materials
FNV,materials
GORO,materials
HYMC,materials
IDR,materials
IP,materials
JELD,materials
KGC,materials
KRO,materials
LIN,materials
MAGN,materials
MLM,materials
MP,materials
MTX,materials
NEM,materials
NUE,materials
PAAS,materials
PZG,materials
RIO,materials
RYAM,materials
SCCO,materials
SHW,materials
SLVM,materials
USAR,materials
USAU,materials
USGO,materials
VGZ,materials
VHI,materials
VMC,materials
WPM,materials
WWR,materials
XLB,materials
XPL,materials
AMOD,miscellaneous
AMPX,miscellaneous
ATKR,miscellaneous
BURU,miscellaneous
BYRN,miscellaneous
CAE,miscellaneous
CAPT,miscellaneous
CBAT,miscellaneous
DBD,miscellaneous
DFLI,miscellaneous
ELBM,miscellaneous
ENVX,miscellaneous
EOSE,miscellaneous
FERG,miscellaneous
FLNC,miscellaneous
FLUX,miscellaneous
GAUZ,miscellaneous
GWH,miscellaneous
LASE,miscellaneous
MVST,miscellaneous
NATL,miscellaneous
NEOV,miscellaneous
NRGV,miscellaneous
NVX,miscellaneous
POLA,miscellaneous
QS,miscellaneous
RMCO,miscellaneous
SES,miscellaneous
SLDP,miscellaneous
STEM,miscellaneous
STI,miscellaneous
TE,miscellaneous
VHC,miscellaneous
XELB,miscellaneous
XPON,miscellaneous
ZEO,miscellaneous
ACN,real_estate
ADC,real_estate
AGNC,real_estate
AHR,real_estate
AMH,real_estate
AMT,real_estate
AMTM,real_estate
ARE,real_estate
AVB,real_estate
BN,real_estate
BRX,real_estate
BXP,real_estate
CART,real_estate
CCI,real_estate
CUBE,real_estate
DLR,real_estate
DOC,real_estate
EDU,real_estate
EGP,real_estate
ELS,real_estate
EQIX,real_estate
EQR,real_estate
ESS,real_estate
EXR,real_estate
GLPI,real_estate
GRAB,real_estate
IRM,real_estate
KIM,real_estate
LINE,real_estate
MAA,real_estate
MELI,real_estate
NLY,real_estate
NNN,real_estate
O,real_estate
OHI,real_estate
PLD,real_estate
PSA,real_estate
RBA,real_estate
REG,real_estate
REXR,real_estate
SBAC,real_estate
SPG,real_estate
STAG,real_estate
SUI,real_estate
UBER,real_estate
UDR,real_estate
UGI,real_estate
VICI,real_estate
VTR,real_estate
WELL,real_estate
WPC,real_estate
WY,real_estate
XLRE,real_estate
Z,real_estate
ZG,real_estate
AAPL,technology
ADBE,technology
ADI,technology
ADSK,technology
AKAM,technology
AMAT,technology
AMD,technology
ANET,technology
APP,technology
ASML,technology
ATEN,technology
AVGO,technology
CDNS,technology
CIEN,technology
COHR,technology
CRM,technology
CRWD,technology
CRWV,technology
CSCO,technology
CSGP,technology
DASH,technology
DDOG,technology
DELL,technology
DLB,technology
DXCM,technology
EA,technology
ETN,technology
FFIV,technology
FICO,technology
FTNT,technology
GOOG,technology
GOOGL,technology
IDXX,technology
INTC,technology
INTU,technology
ISRG,technology
KEYS,technology
KLAC,technology
LITE,technology
LRCX,technology
MA,technology
MCHP,technology
MCO,technology
META,technology
MPWR,technology
MRVL,technology
MSCI,technology
MSFT,technology
MSTR,technology
MU,technology
NET,technology
NFLX,technology
NOVT,technology
NOW,technology
NVDA,technology
NXPI,technology
ORCL,technology
PANW,technology
PLTR,technology
PYPL,technology
QCOM,technology
RBLX,technology
SAP,technology
SHOP,technology
SNDK,technology
SNOW,technology
SNPS,technology
SPGI,technology
STX,technology
TEL,technology
TER,technology
TSM,technology
TTWO,technology
TXN,technology
UI,technology
V,technology
VRT,technology
WDC,technology
XLK,technology
ASNS,telecommunications
BCE,telecommunications
CHT,telecommunications
FOXX,telecommunications
GLIBA,telecommunications
GLIBK,telecommunications
IQST,telecommunications
KORE,telecommunications
KSCP,telecommunications
KT,telecommunications
LILA,telecommunications
LILAK,telecommunications
MYSE,telecommunications
NXPL,telecommunications
OPTU,telecommunications
RCI,telecommunications
REKR,telecommunications
ROKU,telecommunications
SIDU,telecommunications
SKM,telecommunications
TIGO,telecommunications
TLK,telecommunications
TTGT,telecommunications
TU,telecommunications
ZD,telecommunications
AEE,utilities
AEP,utilities
AM,utilities
ATO,utilities
AWK,utilities
BEPC,utilities
CEG,utilities
CMS,utilities
CNP,utilities
CWEN,utilities
D,utilities
DTE,utilities
DTM,utilities
DUK,utilities
EAI,utilities
ED,utilities
EIX,utilities
ENLT,utilities
ES,utilities
ETR,utilities
EVRG,utilities
EXC,utilities
FE,utilities
FN,utilities
FTS,utilities
GFL,utilities
KEP,utilities
LNT,utilities
NEE,utilities
NI,utilities
OGE,utilities
OKLO,utilities
PCG,utilities
PEG,utilities
PNW,utilities
PPL,utilities
SO,utilities
SRE,utilities
TLN,utilities
TRP,utilities
VG,utilities
VST,utilities
WCN,utilities
WEC,utilities
WM,utilities
WMB,utilities
WTRG,utilities
XEL,utilities
XLU,utilities
VIX,vol_regime
^VIX,vol_regime
