asset,group
ELS,real_estate
EQIX,real_estate
EQR,real_estate
ESS,real_estate
EXR,real_estate
MELI,real_estate
RBA,real_estate
STAG,real_estate
XLRE,real_estate
AAPL,technology
ADBE,technology
ADI,technology
ADSK,technology
AKAM,technology
AMAT,technology
AMD,technology
ANET,technology
ASML,technology
ATEN,technology
AVGO,technology
CDNS,technology
CIEN,technology
CRM,technology
CSCO,technology
CSGP,technology
DLB,technology
DXCM,technology
EA,technology
ETN,technology
FFIV,technology
FICO,technology
FTNT,technology
GOOG,technology
GOOGL,technology
IDXX,technology
INTC,technology
INTU,technology
ISRG,technology
KEYS,technology
KLAC,technology
LITE,technology
MSTR,technology
NXPI,technology
SAP,technology
SHOP,technology
STX,technology
TEL,technology
TSM,technology
XLK,technology
BCE,telecommunications
CHT,telecommunications
IQST,telecommunications
KT,telecommunications
LILA,telecommunications
LILAK,telecommunications
OPTU,telecommunications
RCI,telecommunications
REKR,telecommunications
ROKU,telecommunications
SKM,telecommunications
TIGO,telecommunications
TLK,telecommunications
TU,telecommunications
ZD,telecommunications
AEE,utilities
AEP,utilities
ATO,utilities
AWK,utilities
CMS,utilities
CNP,utilities
CWEN,utilities
D,utilities
DTE,utilities
DUK,utilities
ED,utilities
EIX,utilities
ES,utilities
ETR,utilities
EXC,utilities
FN,utilities
KEP,utilities
TRP,utilities
WCN,utilities
XLU,utilities
