asset,group
VALE3.SA,equities_br_bluechips
VIVT3.SA,equities_br_bluechips
WEGE3.SA,equities_br_bluechips
EEM,equities_ex_us
EFA,equities_ex_us
EWJ,equities_ex_us
EWZ,equities_ex_us
DIA,equities_us_broad
IWM,equities_us_broad
QQQ,equities_us_broad
RSP,equities_us_broad
SPY,equities_us_broad
VT,equities_us_broad
VTI,equities_us_broad
CCZ,equities_us_other
CTGO,equities_us_other
INTZ,equities_us_other
NB,equities_us_other
NTIP,equities_us_other
AD,financials
AFL,financials
AIG,financials
AJG,financials
ALL,financials
AMCX,financials
AMP,financials
AON,financials
ATEX,financials
ATNI,financials
AXP,financials
BAC,financials
BK,financials
BLK,financials
C,financials
CCL,financials
CFG,financials
CMCSA,financials
CME,financials
COF,financials
CUK,financials
FIS,financials
FISV,financials
FITB,financials
GM,financials
GPN,financials
GS,financials
HBAN,financials
HIG,financials
HST,financials
IBKR,financials
IDT,financials
JJSF,financials
JPM,financials
LPLA,financials
MET,financials
MKL,financials
MS,financials
MTB,financials
PGR,financials
PNC,financials
PPC,financials
PRMB,financials
PRU,financials
RJF,financials
SCHW,financials
SHEN,financials
SPOK,financials
STT,financials
T,financials
TDS,financials
TFC,financials
TRV,financials
TSN,financials
USB,financials
FXE,fx
FXY,fx
UUP,fx
A,health_care
ABBV,health_care
ABT,health_care
ALNY,health_care
AMGN,health_care
BDX,health_care
BIIB,health_care
BMY,health_care
BR,health_care
BSX,health_care
CAH,health_care
CI,health_care
CNC,health_care
COR,health_care
CVS,health_care
DGX,health_care
DHR,health_care
ELV,health_care
EW,health_care
GILD,health_care
HUM,health_care
ICE,health_care
INCY,health_care
IQV,health_care
JNJ,health_care
LH,health_care
LLY,health_care
MCK,health_care
MDT,health_care
MRK,health_care
MRSH,health_care
NDAQ,health_care
PFE,health_care
REGN,health_care
RMD,health_care
STE,health_care
SYK,health_care
TMO,health_care
TMUS,health_care
UNH,health_care
UTHR,health_care
VRTX,health_care
ADP,industrials
AME,industrials
AMWD,industrials
APH,industrials
APO,industrials
AZO,industrials
BA,industrials
CAT,industrials
CBRE,industrials
CMI,industrials
CPAY,industrials
CSX,industrials
CTAS,industrials
DAL,industrials
DE,industrials
DGII,industrials
DIS,industrials
DOV,industrials
EME,industrials
EMR,industrials
ENR,industrials
ESE,industrials
F,industrials
FAST,industrials
FBIN,industrials
FDX,industrials
FIX,industrials
FTAI,industrials
GD,industrials
GE,industrials
GLW,industrials
GWW,industrials
HCA,industrials
HEI,industrials
HLT,industrials
HON,industrials
HWM,industrials
IBM,industrials
IDCC,industrials
INGR,industrials
ITW,industrials
KN,industrials
KOP,industrials
LAMR,industrials
LEN,industrials
LFUS,industrials
LHX,industrials
LMT,industrials
LPX,industrials
LUMN,industrials
LVS,industrials
LYV,industrials
MAR,industrials
MATV,industrials
MATW,industrials
MCD,industrials
MMM,industrials
MSI,industrials
NFG,industrials
NL,industrials
NOC,industrials
NRG,industrials
NSC,industrials
NSSC,industrials
NVRI,industrials
ODFL,industrials
ORLY,industrials
PAYX,industrials
PBI,industrials
PCAR,industrials
PH,industrials
POWL,industrials
PWR,industrials
RCL,industrials
ROK,industrials
ROST,industrials
RTX,industrials
SATS,industrials
SPB,industrials
SYY,industrials
TDG,industrials
TDY,industrials
THC,industrials
TJX,industrials
TKO,industrials
TPR,industrials
UAL,industrials
UFPI,industrials
ULBI,industrials
UNP,industrials
UPS,industrials
URI,industrials
VYX,industrials
WAB,industrials
ADM,materials
AES,materials
APD,materials
BG,materials
CDE,materials
CLF,materials
CLW,materials
DAR,materials
ECL,materials
FCX,materials
GORO,materials
IP,materials
KRO,materials
MAGN,materials
MLM,materials
MTX,materials
NEM,materials
NUE,materials
PZG,materials
RYAM,materials
SCCO,materials
SHW,materials
USAU,materials
VGZ,materials
VHI,materials
VMC,materials
ADC,real_estate
AGNC,real_estate
AMH,real_estate
AMT,real_estate
ARE,real_estate
AVB,real_estate
BRX,real_estate
BXP,real_estate
CCI,real_estate
DLR,real_estate
DOC,real_estate
EGP,real_estate
ELS,real_estate
EQIX,real_estate
EQR,real_estate
ESS,real_estate
EXR,real_estate
GLPI,real_estate
IRM,real_estate
KIM,real_estate
MAA,real_estate
NLY,real_estate
NNN,real_estate
O,real_estate
OHI,real_estate
PLD,real_estate
PSA,real_estate
REG,real_estate
REXR,real_estate
SBAC,real_estate
SPG,real_estate
SUI,real_estate
UDR,real_estate
UGI,real_estate
VTR,real_estate
WELL,real_estate
AAPL,technology
ADBE,technology
ADI,technology
ADSK,technology
AKAM,technology
AMAT,technology
AMD,technology
ANET,technology
ATEN,technology
AVGO,technology
CDNS,technology
CIEN,technology
CRM,technology
CSCO,technology
CSGP,technology
DLB,technology
DXCM,technology
EA,technology
FFIV,technology
FICO,technology
FTNT,technology
GOOG,technology
GOOGL,technology
IDXX,technology
INTC,technology
INTU,technology
ISRG,technology
KEYS,technology
KLAC,technology
LITE,technology
LRCX,technology
MA,technology
MCHP,technology
MCO,technology
META,technology
MPWR,technology
MRVL,technology
MSCI,technology
MSFT,technology
MU,technology
NFLX,technology
NOVT,technology
NOW,technology
NVDA,technology
ORCL,technology
PANW,technology
PYPL,technology
QCOM,technology
SNPS,technology
SPGI,technology
TER,technology
TTWO,technology
TXN,technology
UI,technology
V,technology
WDC,technology
AEE,utilities
AEP,utilities
ATO,utilities
AWK,utilities
CMS,utilities
CNP,utilities
CWEN,utilities
D,utilities
DTE,utilities
DUK,utilities
ED,utilities
EIX,utilities
ES,utilities
ETR,utilities
EXC,utilities
FE,utilities
FTS,utilities
LNT,utilities
NEE,utilities
NI,utilities
OGE,utilities
PCG,utilities
PEG,utilities
PNW,utilities
PPL,utilities
SO,utilities
SRE,utilities
WEC,utilities
VIX,vol_regime
